post_title,post_image_url,snippet_summary,jump_link,jump_table
Dibrugarh University B.Ed Admission 2024 – Check DU B.Ed CET Result,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjuLCaedTr_bWh9dzCrxJwDk_dGZWP-4OSmWTN3fL5ajSg9C08UdRs6FY2FwAqPI9XGUA71vxmEdApjUnHhB4mNbvFlvc1qP-eDG5dEfmldw81fGODdO0TW_rS75NRn0kQLXsu-38hm_0ISIdBzupkQZQq-2dVyEQIPJ72V0lDjZIMOlJpiH8tPqQTk/w360-h190-p-k-no-nu/dibrugarh-university.webp,"DU B.Ed CET Result 2024 Dibrugarh University has released the results of the Dibrugarh University B.Ed. Common Entrance Test 2024. Candidates who applied online and appeared in the entrance examination conducted by the university on 13th July 2024, may now download their...",https://www.assamcareer.com/2022/05/dibrugarh-university-b-ed-admission.html#more,"[{'jump_name': 'DU B.Ed CET Merit List', 'jump_url': 'https://dibru.ac.in/wp-content/uploads/2024/07/RESULT-OF-ELIGIBLE-CANDIDATES-IN-ORDER-OF-MERIT.pdf'}, {'jump_name': 'DU B.Ed CET Scorecard', 'jump_url': 'https://erp.dibru.work/searchresult'}, {'jump_name': 'DU B.Ed CET Result Notice', 'jump_url': 'https://dibru.ac.in/wp-content/uploads/2024/07/BED-CET-2024-Result-Notification.pdf'}, {'jump_name': 'Official Website', 'jump_url': 'https://dibru.ac.in/'}]"
"DBHRGFTI Admission 2024 – Film Making, Acting & Sound Engineering Courses in Assam",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"DBHRGFTI Guwahati Admission 2024 &nbsp; Dr. Bhupen Hazarika Regional Government Film and Television Institute (DBHRGFTI) Guwahati  has released the official notification for Admission into various Diploma Courses of Acting, Film and Video Editing, Cinematography and Sound...",https://www.assamcareer.com/2020/10/dbhrgfti-admission.html#more,"[{'jump_name': 'Online Application Form', 'jump_url': 'https://forms.gle/9iABWSBhXoU96WNp8'}, {'jump_name': 'Extension Notice', 'jump_url': 'https://dbhrgfti.assam.gov.in/latest/extension-noticeadmission-dbhrgfti-2024-25'}, {'jump_name': 'Admission Notification', 'jump_url': 'https://dbhrgfti.assam.gov.in/node/94235'}, {'jump_name': 'Admission Prospectus', 'jump_url': 'https://dbhrgfti.assam.gov.in/node/94236'}, {'jump_name': 'QR Code for Fee Payment', 'jump_url': 'https://dbhrgfti.assam.gov.in/sites/default/files/swf_utility_folder/departments/jcft_medhassu_in_oid_12/latest/qr_code_for_dbhrgfti_admission_form2024-25.pdf'}, {'jump_name': 'Sample Question Paper', 'jump_url': 'https://dbhrgfti.assam.gov.in/sites/default/files/swf_utility_folder/departments/jcft_medhassu_in_oid_12/latest/sample_question_paper_dbhrgfti_admission_test.pdf'}, {'jump_name': 'Official Website', 'jump_url': 'https://dbhrgfti.assam.gov.in'}]"
SSUHS GNM Admission 2024 – Online Apply for GNMEE,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"  SSUHS GNM Admission 2024 &nbsp; Srimanta Sankaradeva University of Health Sciences  (SSUHS)  has released the official admission notification for admission into GNM courses  under Directorate of Health Service, Govt. of Assam in both Govt. and private GNM Training institutes...",https://www.assamcareer.com/2022/05/ssuhs-gnm-admission.html#more,"[{'jump_name': 'Category', 'jump_url': ''}, {'jump_name': 'General', 'jump_url': ''}, {'jump_name': 'SC/ST', 'jump_url': ''}, {'jump_name': 'OBC/MOBC/EWS', 'jump_url': ''}, {'jump_name': 'Tai Ahom/ Koch Rajbongshi/ Moran/Matak/ Chutia & TGL/ Ex-TGL Category', 'jump_url': ''}]"
Assam JMEE 2024 Exam – Submit Online Application,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"  Assam JMEE 2024 &nbsp; Assam Science and Technology University (ASTU)  has released the official notification of Assam Joint MCA Entrance Examination (JMEE) 2024 . Interested and eligible candidates may apply online  from 21st June 2024 to 5th July, 202...",https://www.assamcareer.com/2020/07/assam-jmee.html#more,"[{'jump_name': 'Online Application Link', 'jump_url': 'https://formonline.net/ASTU_Jmee_Jlee_24/?r'}, {'jump_name': 'Official Notification', 'jump_url': 'https://astu.ac.in/?page_id=34405'}, {'jump_name': 'Information Brochure', 'jump_url': 'https://astu.ac.in/?page_id=34422'}, {'jump_name': 'Official Website', 'jump_url': 'https://astu.ac.in/'}]"
Assam JLEE 2024 Notification – Submit Online Application,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Assam JLEE 2024     Assam Science and Technology University (ASTU)  has released the official notification of Assam Joint Lateral Entrance Examination (JLEE) 2024 . Interested and eligible candidates may apply online  from 21st June 2024 to 5th July, 2024. &nbsp; &nbsp;...",https://www.assamcareer.com/2020/07/assam-jlee.html#more,"[{'jump_name': 'Online Application Link', 'jump_url': 'https://formonline.net/ASTU_Jmee_Jlee_24/?r'}, {'jump_name': 'Official Notification', 'jump_url': 'https://astu.ac.in/?page_id=34405'}, {'jump_name': 'Information Brochure', 'jump_url': 'https://astu.ac.in/?page_id=34418'}, {'jump_name': 'Official Website', 'jump_url': 'https://astu.ac.in/'}]"
Dibrugarh University PG Admission 2024 – DUPGET Postponed,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,Dibrugarh University PG Admission 2024 Dibrugarh University  has released the official notification of Post Graduate Entrance Test (DUPGET) 2024  for the admission into various Post Graduate Programmes conducted by Dibrugarh University and its Affiliated and autonomous...,https://www.assamcareer.com/2020/07/dibrugarh-university-pg-admission.html#more,"[{'jump_name': 'Course', 'jump_url': ''}, {'jump_name': 'MA', 'jump_url': ''}, {'jump_name': 'MSc', 'jump_url': ''}, {'jump_name': 'MCom', 'jump_url': ''}, {'jump_name': 'MEd', 'jump_url': ''}, {'jump_name': 'MCA', 'jump_url': ''}, {'jump_name': 'MTTM', 'jump_url': ''}]"
IOCL Admission 2024 – B.Sc (Nursing) & GNM Course @ Digboi,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"IOCL Admission 2024 Indian Oil Corporation Limited  has released the official IOCL Nursing Admission 2024 notification for admission into B.Sc (Nursing) at Assam Oil College of Nursing  and  GNM Course  at Assam Oil School of Nursing at IOCL (AOD), Digboi . Interested...",https://www.assamcareer.com/2023/07/iocl-admission.html#more,"[{'jump_name': 'Online Application Form - GNM', 'jump_url': ''}, {'jump_name': 'Online Application Form -B. Sc (Nursing)', 'jump_url': 'https://aocnadmission.in/'}, {'jump_name': 'Advertisement Details', 'jump_url': 'https://iocl.com/admin/img/UploadedFiles/LatestJobOpening/Files/7f20a54438ce489e993c85151153617a.pdf'}, {'jump_name': 'Official Website', 'jump_url': 'https://iocl.com'}]"
BSSRV Golaghat Admission 2024 – Submit Online Application,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"BSSRV Golaghat Admission 2024 Birangana Sati Sadhani Rajyik Vishwavidyalaya  has released the official admission notification 2024 for various Under Graduate (UG) and Post Graduate (PG) academic programmes conducted by BSSRV in the Academic Session 2024-25. Accordingly,...",https://www.assamcareer.com/2021/06/bssrv-golaghat-admission.html#more,"[{'jump_name': 'Account Name', 'jump_url': ''}, {'jump_name': 'Account Number', 'jump_url': ''}, {'jump_name': 'IFSC Code', 'jump_url': ''}, {'jump_name': 'Bank Name and Branch', 'jump_url': ''}]"
SAMARTH Admission Portal – Assam College Admission Online,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"SAMARTH Admission Portal In a bid to streamline the admission process for Under Graduate Programmes  in all Higher Education Institutes of Assam, Govt. of Assam had launched a common online admission portal called SAMARTH from the academic session 2023 – 2024. SAMARTH...",https://www.assamcareer.com/2023/06/samarth-admission-portal.html#more,"[{'jump_name': 'Email', 'jump_url': ''}, {'jump_name': 'Whatsapp No', 'jump_url': ''}, {'jump_name': 'Contact Person Details', 'jump_url': 'https://assamadmission.samarth.ac.in/index.php/site/contact'}]"
AAU Jorhat Admission 2024 – Download CETUG 2024 Admit Card,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif," AAU Admission 2024 &nbsp; Assam Agricultural University (AAU), Jorhat  has released the AAU Official Admission Notification  for the 2024-2025  session. In this article, we will discuss about AAU Admission notification 2024 , various UG and PG courses it offers, course...",https://www.assamcareer.com/2021/07/aau-admission.html#more,"[{'jump_name': 'Faculty', 'jump_url': ''}, {'jump_name': 'Faculty of Agriculture', 'jump_url': ''}, {'jump_name': 'Faculty of Community Science', 'jump_url': ''}, {'jump_name': 'Faculty of Fisheries Science', 'jump_url': ''}, {'jump_name': 'College of Horticulture & FSR', 'jump_url': ''}, {'jump_name': 'College of Sericulture', 'jump_url': ''}, {'jump_name': 'Faculty of Veterinary Science', 'jump_url': ''}]"
"Polytechnic Admission 2024 – Assam Polytechnic Admission, Online Apply",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQu9L2IalAcrGuysHQX5E_Neu9dtaurooKk-iKmORchMXoPsQxuA7h6EP-0Z6izV7lN1io_BHvngZMIKWYFDtqJK88ZxmyFk8WIRUWkCe6iz8EvR9wjVX8qrRs2h9joSD_jizg69PSvim3/s1600/sun.gif,"Polytechnic Admission 2024 Directorate of Technical Education (DTE), Assam  has released the official notification  of Polytechnic Admission 2024 . Intending and eligible candidates may apply online  here for admission into Diploma Courses in the following State Government...",https://www.assamcareer.com/2021/05/polytechnic-admission-test.html#more,"[{'jump_name': 'Category', 'jump_url': ''}, {'jump_name': 'General', 'jump_url': ''}, {'jump_name': 'OBC/ MOBC', 'jump_url': ''}, {'jump_name': 'SC', 'jump_url': ''}, {'jump_name': 'ST', 'jump_url': ''}]"
"JEE Advanced 2024 – Joint Entrance Examination (Advanced), Online Apply",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjrkzpxsq5FyFWWDVHy_4_CdeAEyuJVPjl8L8fFGR_LT7ELBjOVFAKb5IRgLgu2mfTab3SPccT1H7RQlkduGL1S1oPVi_9pNbTqcMErh2cdAVPIRHTLNG9ltJmwBH5WZTHTT4CsCwV9GX0fLJSPsn63Gv7J-bSy8lCE1GLG9BAb9rUgV_kc65Lde4tcZGY/w360-h190-p-k-no-nu/jee-advanced.jpg,JEE Advanced 2024 Indian Institute of Technology (IIT) Madras  has released the official notification of Joint Entrance Examination (Advanced) [JEE (Advanced) ] 2024 . Interested and eligible candidates may apply online  here . &amp;nbs...,https://www.assamcareer.com/2020/02/jee-advanced.html#more,"[{'jump_name': 'Online Application Form', 'jump_url': 'https://jeeadv.nic.in/applicant'}, {'jump_name': 'JEE Advanced Important Dates', 'jump_url': 'https://jeeadv.ac.in/imp_dates.html'}, {'jump_name': 'JEE Advanced Syllabus', 'jump_url': 'https://jeeadv.ac.in/documents/jee-advanced-2024-syllabus.pdf'}, {'jump_name': 'Official Notification', 'jump_url': 'https://jeeadv.ac.in/documents/IB_V.1.0_JEE_Adv_2024_English.pdf'}, {'jump_name': 'Official Website', 'jump_url': 'https://jeeadv.ac.in/'}]"
